,AREA,POÇO,ID_INTERVALO,ATRIB_MED1,ATRIB_MAX1,ATRIB_DIST1,DIFP,MGP1,MGP2,MGP3,MGP4,MGP5,MGP6,MGP7,MGP8,MGP9,MGP10,MGP11,MGP12,MGP13,MGP14,Perda30,PerdaAPI,PerdaPS,PERDA_MAX
56,C3,C3P4,B1,0.14,0.95,1000.0,1.29,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,14.0
3,C1,C1P1,A3,0.05,0.05,1000.0,0.61,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,10.0
87,C4,C4P6,A1,0.05,0.05,1000.0,0.74,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0.0
46,C3,C3P1,A3,0.05,0.24,325.0,1.77,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,4.2
44,C2,C2P7,B1,0.05,0.05,265.0,0.675,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0.0
71,C3,C3P9,B1,0.36,0.95,111.0,0.6,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0.0
58,C3,C3P5,A3,0.57,0.95,0.0,0.9,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0.0
15,C1,C1P4,A3,0.1,0.54,346.0,1.03,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0
26,C2,C2P3,A2,0.12,0.89,51.0,0.17,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0
91,C4,C4P7,A3,0.27,0.76,213.97,0.49,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0.0
118,C4,C4P16,A3,0.2,0.82,425.18,0.521,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0.0
17,C2,C2P1,A1,0.05,0.05,300.0,1.2,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0.67
86,C4,C4P5,I1,0.05,0.05,1000.0,0.26,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0.0
39,C2,C2P6,A3,0.05,0.05,275.0,0.53,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0.0
69,C3,C3P9,A1,0.11,0.92,1000.0,0.41,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0.0
53,C3,C3P3,B1,0.23,0.95,190.0,1.06,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,2.5
68,C3,C3P8,B1,0.22,0.95,270.0,0.65,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0.0
112,C4,C4P14,A3,0.05,0.05,517.96,0.49,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0.0
36,C2,C2P5,B1,0.05,0.05,1000.0,0.51,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,10.0
52,C3,C3P3,A3,0.62,0.95,0.0,1.04,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,2.25
2,C1,C1P1,A2,0.05,0.05,1000.0,0.54,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,12.0
16,C1,C1P4,B1,0.09,0.58,1000.0,1.13,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0
30,C2,C2P4,A2,0.09,0.21,167.0,0.514,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.0
73,C4,C4P1,A3,0.05,0.05,184.56,1.18,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0.0
49,C3,C3P2,A3,0.44,0.83,25.0,0.75,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.0
67,C3,C3P8,A3,0.05,0.05,246.0,0.63,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0.0
90,C4,C4P7,A1,0.06,0.05,1000.0,0.33299999999999996,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0.0
75,C4,C4P2,A1,0.05,0.05,1000.0,1.35,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,16.0
70,C3,C3P9,A3,0.05,0.05,235.0,0.43,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0.0
88,C4,C4P6,A3,0.44,0.95,87.5,0.81,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0.0
50,C3,C3P2,B1,0.34,0.95,600.0,0.915,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.0
23,C2,C2P2,A3,0.19,0.82,245.0,0.125,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.0
32,C2,C2P4,B1,0.05,0.05,288.0,0.62,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.0
45,C3,C3P1,A1,0.05,0.05,1000.0,1.75,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,9.6
99,C4,C4P10,A1,0.05,0.05,1000.0,0.48,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.0
96,C4,C4P9,A1,0.08,0.32,1000.0,1.05,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,10.0
105,C4,C4P12,A1,0.46,0.95,39.53,0.6,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0.0
13,C1,C1P4,A1,0.05,0.05,1000.0,0.88,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0
72,C4,C4P1,A1,0.05,0.05,1000.0,0.87,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0.0
116,C4,C4P15,B1,0.13,0.67,1000.0,0.57,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0
102,C4,C4P11,A1,0.05,0.05,480.0,0.52,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0.0
48,C3,C3P2,A1,0.2,0.8,1000.0,0.73,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.0
37,C2,C2P6,A1,0.05,0.05,1000.0,0.53,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0.0
41,C2,C2P7,A1,0.05,0.05,1000.0,0.523,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0.0
18,C2,C2P1,A2,0.52,0.95,0.0,1.2,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0.0
66,C3,C3P8,A1,0.05,0.05,1000.0,0.57,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0.0
114,C4,C4P15,A1,0.05,0.05,1000.0,0.39,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0
4,C1,C1P1,B1,0.13,0.92,1000.0,0.63,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0
84,C4,C4P5,A1,0.05,0.05,629.11,0.21,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0.0
31,C2,C2P4,A3,0.05,0.05,1000.0,0.564,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.0
117,C4,C4P16,A1,0.05,0.05,1000.0,0.33399999999999996,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0.0
51,C3,C3P3,A1,0.48,0.95,25.0,0.86,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0.0
29,C2,C2P4,A1,0.07,0.2,444.0,0.5579999999999999,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.0
82,C4,C4P4,A3,0.52,0.95,0.0,0.82,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0
120,C4,C4P17,A1,0.34,0.95,1000.0,1.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
57,C3,C3P5,A1,0.32,0.91,1000.0,0.89,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0.0
27,C2,C2P3,A3,0.27,0.95,225.0,0.24,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0
100,C4,C4P10,A3,0.31,0.95,151.04,0.63,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.0
104,C4,C4P11,B1,0.05,0.22,532.98,0.66,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0.0
103,C4,C4P11,A3,0.27,0.95,1000.0,0.61,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0.0
113,C4,C4P14,B1,0.11,0.62,1000.0,0.63,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,180.0
80,C4,C4P3,B1,0.14,0.65,51.54,1.013,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,50.0
24,C2,C2P2,B1,0.05,0.05,611.0,0.25,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,30.0
5,C1,C1P2,A1,0.16,0.83,300.0,0.42,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,999.0
106,C4,C4P12,A3,0.63,0.95,0.0,0.72,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,30.0
1,C1,C1P1,A1,0.08,0.54,1000.0,0.61,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,100.0
107,C4,C4P12,B1,0.1,0.6,544.58,0.72,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,140.0
74,C4,C4P1,B1,0.24,0.95,1000.0,1.21,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,120.0
77,C4,C4P2,B1,0.09,0.44,1000.0,1.48,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,40.0
33,C2,C2P5,A1,0.47,0.92,25.0,0.526,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,90.0
77,C4,C4P2,B1,0.09,0.44,1000.0,1.48,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,40.0
